month,day,hour,dow,kWh,solar_kWh
1,1,0,5,29,0
1,1,1,5,27,0
1,1,2,5,29,0
1,1,3,5,27,0
1,1,4,5,25,0
1,1,5,5,26,0
1,1,6,5,28,0
1,1,7,5,25,0
1,1,8,5,25,0
1,1,9,5,26,1.938013
1,1,10,5,25,19.891926
1,1,11,5,26,104.44436
1,1,12,5,24,116.35613
1,1,13,5,26,116.06172
1,1,14,5,25,104.79663
1,1,15,5,25,81.237572
1,1,16,5,25,44.780132
1,1,17,5,28,.76862001
1,1,18,5,29,0
1,1,19,5,30,0
1,1,20,5,30,0
1,1,21,5,30,0
1,1,22,5,30,0
1,1,23,5,30,0
1,2,0,6,30,0
1,2,1,6,29,0
1,2,2,6,26,0
1,2,3,6,27,0
1,2,4,6,26,0
1,2,5,6,25,0
1,2,6,6,27,0
1,2,7,6,25,0
1,2,8,6,25,0
1,2,9,6,25,9.5408373
1,2,10,6,25,79.321602
1,2,11,6,25,51.766705
1,2,12,6,24,113.26686
1,2,13,6,25,114.68092
1,2,14,6,24,104.71368
1,2,15,6,26,41.156696
1,2,16,6,24,28.435642
1,2,17,6,25,.84474701
1,2,18,6,25,0
1,2,19,6,25,0
1,2,20,6,25,0
1,2,21,6,26,0
1,2,22,6,25,0
1,2,23,6,25,0
1,3,0,7,24,0
1,3,1,7,25,0
1,3,2,7,25,0
1,3,3,7,27,0
1,3,4,7,25,0
1,3,5,7,25,0
1,3,6,7,25,0
1,3,7,7,26,0
1,3,8,7,24,0
1,3,9,7,27,9.4770498
1,3,10,7,24,78.361893
1,3,11,7,25,101.31388
1,3,12,7,25,112.86877
1,3,13,7,25,112.52538
1,3,14,7,25,100.59088
1,3,15,7,25,78.282532
1,3,16,7,25,44.001858
1,3,17,7,25,.99374998
1,3,18,7,25,0
1,3,19,7,26,0
1,3,20,7,26,0
1,3,21,7,26,0
1,3,22,7,26,0
1,3,23,7,26,0
1,4,0,1,25,0
1,4,1,1,26,0
1,4,2,1,26,0
1,4,3,1,27,0
1,4,4,1,26,0
1,4,5,1,28,0
1,4,6,1,54,0
1,4,7,1,58,0
1,4,8,1,60,0
1,4,9,1,54,3.6855991
1,4,10,1,49,80.343239
1,4,11,1,48,102.07897
1,4,12,1,45,111.33007
1,4,13,1,43,112.4316
1,4,14,1,41,103.23597
1,4,15,1,41,81.925659
1,4,16,1,41,46.602592
1,4,17,1,43,1.3082221
1,4,18,1,54,0
1,4,19,1,68,0
1,4,20,1,68,0
1,4,21,1,36,0
1,4,22,1,29,0
1,4,23,1,30,0
1,5,0,2,29,0
1,5,1,2,28,0
1,5,2,2,28,0
1,5,3,2,30,0
1,5,4,2,25,0
1,5,5,2,30,0
1,5,6,2,38,0
1,5,7,2,55,0
1,5,8,2,57,0
1,5,9,2,41,9.027154
1,5,10,2,34,79.750526
1,5,11,2,34,103.51985
1,5,12,2,34,115.00361
1,5,13,2,32,115.26461
1,5,14,2,30,104.26868
1,5,15,2,30,81.113159
1,5,16,2,29,45.481388
1,5,17,2,32,1.5011181
1,5,18,2,57,0
1,5,19,2,56,0
1,5,20,2,56,0
1,5,21,2,34,0
1,5,22,2,31,0
1,5,23,2,31,0
1,6,0,3,31,0
1,6,1,3,29,0
1,6,2,3,28,0
1,6,3,3,27,0
1,6,4,3,27,0
1,6,5,3,28,0
1,6,6,3,30,0
1,6,7,3,28,0
1,6,8,3,27,0
1,6,9,3,29,.012515
1,6,10,3,27,75.548073
1,6,11,3,27,97.992851
1,6,12,3,27,109.09723
1,6,13,3,27,108.61485
1,6,14,3,26,98.564262
1,6,15,3,27,42.254208
1,6,16,3,26,7.2071242
1,6,17,3,28,0
1,6,18,3,32,0
1,6,19,3,31,0
1,6,20,3,31,0
1,6,21,3,31,0
1,6,22,3,32,0
1,6,23,3,31,0
1,7,0,4,31,0
1,7,1,4,29,0
1,7,2,4,28,0
1,7,3,4,27,0
1,7,4,4,27,0
1,7,5,4,29,0
1,7,6,4,40,0
1,7,7,4,45,0
1,7,8,4,39,0
1,7,9,4,39,1.5989339
1,7,10,4,30,.308671
1,7,11,4,31,10.196953
1,7,12,4,30,22.200163
1,7,13,4,28,24.369452
1,7,14,4,28,99.10302
